Description,pvalue,cluster
"GO:0009769_photosynthesis, light harvesting in photosystem II",0.00247,3
GO:0009772_photosynthetic electron transport in photosystem II,0.0212,3
GO:0009773_photosynthetic electron transport in photosystem I,1.00E-30,3
GO:0009780_photosynthetic NADP+ reduction,0.0042,3
GO:0009785_blue light signaling pathway,0.00056,3
GO:0009821_alkaloid biosynthetic process,0.553,3
GO:0009852_auxin catabolic process,0.00247,3
GO:0009853_photorespiration,0.00502,3
GO:0009854_oxidative photosynthetic carbon pathway,0.0477,3
GO:0009861_jasmonic acid and ethylene-dependent systemic resistance,1,3
"GO:0009866_induced systemic resistance, ethylene mediated signaling pathway",0.609,3
"GO:0009868_jasmonic acid and ethylene-dependent systemic resistance, jasmonic acid mediated signaling pathway",1,3
"GO:0009871_jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway",1,3
GO:0009900_dehiscence,0.866,3
GO:0009901_anther dehiscence,0.799,3
GO:0009902_chloroplast relocation,1.10E-19,3
GO:0009920_cell plate formation involved in plant-type cell wall biogenesis,0.151,3
GO:0009937_regulation of gibberellic acid mediated signaling pathway,0.0221,3
GO:0009938_negative regulation of gibberellic acid mediated signaling pathway,0.0751,3
GO:0009943_adaxial/abaxial axis specification,0.0273,3
GO:0009944_polarity specification of adaxial/abaxial axis,0.023,3
GO:0009945_radial axis specification,1,3
GO:0009958_positive gravitropism,0.00131,3
GO:0009959_negative gravitropism,0.00644,3
GO:0010020_chloroplast fission,0.0277,3
GO:0010021_amylopectin biosynthetic process,0.00572,3
GO:0010027_thylakoid membrane organization,6.40E-25,3
GO:0010036_response to boron-containing substance,0.0371,3
GO:0010037_response to carbon dioxide,1,3
GO:0010047_fruit dehiscence,1,3
GO:0010086_embryonic root morphogenesis,0.0232,3
GO:0010088_phloem development,0.0102,3
GO:0010091_trichome branching,0.0166,3
GO:0010105_negative regulation of ethylene-activated signaling pathway,1,3
GO:0010109_regulation of photosynthesis,0.00353,3
"GO:0010110_regulation of photosynthesis, dark reaction",0.0121,3
GO:0010112_regulation of systemic acquired resistance,0.687,3
GO:0010113_negative regulation of systemic acquired resistance,1,3
GO:0010120_camalexin biosynthetic process,1,3
GO:0010135_ureide metabolic process,0.017,3
GO:0010136_ureide catabolic process,0.017,3
GO:0010182_sugar mediated signaling pathway,0.907,3
GO:0010187_negative regulation of seed germination,0.00672,3
GO:0010188_response to microbial phytotoxin,0.375,3
GO:0010196_nonphotochemical quenching,3.70E-09,3
GO:0010205_photoinhibition,0.00017,3
GO:0010207_photosystem II assembly,1.00E-30,3
GO:0010215_cellulose microfibril organization,0.0371,3
GO:0010219_regulation of vernalization response,1,3
GO:0010220_positive regulation of vernalization response,1,3
GO:0010229_inflorescence development,0.037,3
GO:0010234_anther wall tapetum cell fate specification,0.609,3
GO:0010236_plastoquinone biosynthetic process,0.0477,3
GO:0010239_chloroplast mRNA processing,0.0385,3
GO:0010244_response to low fluence blue light stimulus by blue low-fluence system,0.634,3
GO:0010247_detection of phosphate ion,1,3
GO:0010254_nectary development,1,3
GO:0010258_NADH dehydrogenase complex (plastoquinone) assembly,0.0368,3
GO:0010262_somatic embryogenesis,0.0212,3
GO:0010264_myo-inositol hexakisphosphate biosynthetic process,0.000037,3
GO:0010266_response to vitamin B1,1,3
GO:0010270_photosystem II oxygen evolving complex assembly,0.0529,3
GO:0010271_regulation of chlorophyll catabolic process,0.303,3
GO:0010286_heat acclimation,0.0894,3
GO:0010289_homogalacturonan biosynthetic process,0.68,3
GO:0010304_PSII associated light-harvesting complex II catabolic process,5.40E-10,3
"GO:0010322_regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",1,3
GO:0010337_regulation of salicylic acid metabolic process,0.944,3
GO:0010338_leaf formation,0.0371,3
GO:0010343_singlet oxygen-mediated programmed cell death,0.00572,3
GO:0010361_regulation of anion channel activity by blue light,0.0121,3
GO:0010362_negative regulation of anion channel activity by blue light,0.0121,3
GO:0010392_galactoglucomannan metabolic process,1,3
GO:0010394_homogalacturonan metabolic process,0.68,3
GO:0010432_bract development,1,3
GO:0010433_bract morphogenesis,1,3
GO:0010434_bract formation,1,3
GO:0010447_response to acidic pH,1,3
GO:0010480_microsporocyte differentiation,0.0104,3
GO:0010581_regulation of starch biosynthetic process,0.0368,3
GO:0010597_green leaf volatile biosynthetic process,0.071,3
GO:0010731_protein glutathionylation,0.112,3
GO:0010815_bradykinin catabolic process,1,3
GO:0010830_regulation of myotube differentiation,1,3
GO:0010930_negative regulation of auxin mediated signaling pathway,1,3
GO:0014071_response to cycloalkane,1,3
GO:0014074_response to purine-containing compound,1,3
GO:0015669_gas transport,1,3
GO:0015671_oxygen transport,1,3
GO:0015690_aluminum cation transport,1,3
GO:0015696_ammonium transport,0.995,3
GO:0015708_silicic acid import across plasma membrane,1,3
GO:0015712_hexose phosphate transport,0.582,3
GO:0015713_phosphoglycerate transmembrane transport,0.582,3
GO:0015714_phosphoenolpyruvate transport,0.582,3
GO:0015717_triose phosphate transport,0.582,3
GO:0015727_lactate transport,1,3
GO:0015744_succinate transport,1,3
GO:0015746_citrate transport,0.0231,3
GO:0015760_glucose-6-phosphate transport,0.582,3
GO:0015768_maltose transport,1,3
GO:0015780_nucleotide-sugar transmembrane transport,0.379,3
GO:0015786_UDP-glucose transmembrane transport,1,3
GO:0015791_polyol transport,0.55,3
GO:0015794_glycerol-3-phosphate transmembrane transport,1,3
GO:0015800_acidic amino acid transport,0.657,3
GO:0015802_basic amino acid transport,0.997,3
GO:0015819_lysine transport,1,3
GO:0015843_methylammonium transport,0.0232,3
GO:0015853_adenine transport,1,3
GO:0015854_guanine transport,1,3
GO:0015866_ADP transport,0.738,3
GO:0015884_folic acid transport,0.634,3
GO:0015917_aminophospholipid transport,1,3
GO:0015969_guanosine tetraphosphate metabolic process,0.001,3
GO:0015977_carbon fixation,0.00395,3
GO:0015995_chlorophyll biosynthetic process,1.40E-27,3
GO:0016103_diterpenoid catabolic process,0.331,3
GO:0016104_triterpenoid biosynthetic process,0.936,3
GO:0016110_tetraterpenoid catabolic process,0.235,3
GO:0016117_carotenoid biosynthetic process,5.50E-15,3
GO:0016118_carotenoid catabolic process,0.235,3
GO:0016121_carotene catabolic process,0.235,3
GO:0016122_xanthophyll metabolic process,0.0134,3
GO:0016124_xanthophyll catabolic process,0.235,3
GO:0016139_glycoside catabolic process,0.825,3
GO:0016145_S-glycoside catabolic process,1,3
GO:0016318_ommatidial rotation,1,3
GO:0016579_protein deubiquitination,0.999,3
GO:0017000_antibiotic biosynthetic process,0.453,3
GO:0018149_peptide cross-linking,0.0231,3
GO:0018160_peptidyl-pyrromethane cofactor linkage,0.0231,3
GO:0018198_peptidyl-cysteine modification,0.00551,3
GO:0018316_peptide cross-linking via L-cystine,0.125,3
GO:0018874_benzoate metabolic process,1,3
GO:0019218_regulation of steroid metabolic process,1,3
GO:0019244_lactate biosynthetic process from pyruvate,1,3
GO:0019249_lactate biosynthetic process,0.235,3
GO:0019253_reductive pentose-phosphate cycle,0.000000024,3
GO:0019264_glycine biosynthetic process from serine,0.00247,3
GO:0019284_L-methionine salvage from S-adenosylmethionine,1,3
GO:0019285_glycine betaine biosynthetic process from choline,0.0368,3
GO:0019323_pentose catabolic process,0.0232,3
GO:0019359_nicotinamide nucleotide biosynthetic process,1,3
GO:0019363_pyridine nucleotide biosynthetic process,1,3
GO:0019369_arachidonic acid metabolic process,1,3
GO:0019374_galactolipid metabolic process,0.721,3
GO:0019375_galactolipid biosynthetic process,0.715,3
GO:0019388_galactose catabolic process,0.0385,3
GO:0019406_hexitol biosynthetic process,1,3
GO:0019427_acetyl-CoA biosynthetic process from acetate,1,3
GO:0019430_removal of superoxide radicals,0.0942,3
GO:0019441_tryptophan catabolic process to kynurenine,0.0368,3
GO:0019464_glycine decarboxylation via glycine cleavage system,0.0171,3
GO:0019478_D-amino acid catabolic process,1,3
"GO:0019481_L-alanine catabolic process, by transamination",0.0231,3
GO:0019509_L-methionine salvage from methylthioadenosine,0.582,3
GO:0019516_lactate oxidation,1,3
GO:0019521_D-gluconate metabolic process,1,3
GO:0019566_arabinose metabolic process,0.0303,3
GO:0019593_mannitol biosynthetic process,1,3
GO:0019594_mannitol metabolic process,1,3
GO:0019628_urate catabolic process,1,3
GO:0019674_NAD metabolic process,0.771,3
GO:0019676_ammonia assimilation cycle,0.0232,3
GO:0019695_choline metabolic process,0.0368,3
GO:0019740_nitrogen utilization,0.00316,3
GO:0019742_pentacyclic triterpenoid metabolic process,0.936,3
GO:0019745_pentacyclic triterpenoid biosynthetic process,0.936,3
GO:0019755_one-carbon compound transport,1,3
GO:0019759_glycosinolate catabolic process,1,3
GO:0019762_glucosinolate catabolic process,1,3
"GO:0019918_peptidyl-arginine methylation, to symmetrical-dimethyl arginine",1,3
GO:0021536_diencephalon development,1,3
GO:0022900_electron transport chain,0.00182,3
GO:0030004_cellular monovalent inorganic cation homeostasis,0.577,3
GO:0030007_cellular potassium ion homeostasis,0.891,3
GO:0030042_actin filament depolymerization,0.00386,3
GO:0030091_protein repair,0.00194,3
GO:0030104_water homeostasis,0.168,3
GO:0030150_protein import into mitochondrial matrix,0.927,3
GO:0030166_proteoglycan biosynthetic process,1,3
GO:0030224_monocyte differentiation,1,3
GO:0030225_macrophage differentiation,0.0368,3
GO:0030308_negative regulation of cell growth,0.38,3
GO:0030317_flagellated sperm motility,1,3
GO:0030435_sporulation resulting in formation of a cellular spore,0.224,3
GO:0030490_maturation of SSU-rRNA,0.968,3
GO:0030493_bacteriochlorophyll metabolic process,0.0231,3
GO:0030494_bacteriochlorophyll biosynthetic process,0.0231,3
GO:0030497_fatty acid elongation,0.0259,3
GO:0030505_inorganic diphosphate transport,0.0027,3
GO:0030520_intracellular estrogen receptor signaling pathway,1,3
GO:0030834_regulation of actin filament depolymerization,0.0277,3
GO:0030835_negative regulation of actin filament depolymerization,0.0419,3
GO:0031098_stress-activated protein kinase signaling cascade,0.859,3
GO:0031281_positive regulation of cyclase activity,0.609,3
GO:0031290_retinal ganglion cell axon guidance,1,3
GO:0031349_positive regulation of defense response,0.981,3
GO:0031425_chloroplast RNA processing,0.894,3
GO:0031426_polycistronic mRNA processing,0.0232,3
GO:0031455_glycine betaine metabolic process,0.0368,3
GO:0031456_glycine betaine biosynthetic process,0.0368,3
GO:0031539_positive regulation of anthocyanin metabolic process,0.00785,3
GO:0031644_regulation of nervous system process,0.927,3
GO:0031998_regulation of fatty acid beta-oxidation,0.0368,3
GO:0032102_negative regulation of response to external stimulus,0.944,3
GO:0032461_positive regulation of protein oligomerization,1,3
GO:0032544_plastid translation,0.184,3
GO:0032868_response to insulin,1,3
GO:0032890_regulation of organic acid transport,0.0232,3
GO:0032940_secretion by cell,0.0248,3
GO:0033119_negative regulation of RNA splicing,1,3
GO:0033198_response to ATP,1,3
GO:0033239_negative regulation of cellular amine metabolic process,0.582,3
GO:0033306_phytol metabolic process,0.0529,3
GO:0033333_fin development,1,3
GO:0033334_fin morphogenesis,1,3
GO:0033383_geranyl diphosphate metabolic process,1,3
GO:0033385_geranylgeranyl diphosphate metabolic process,0.017,3
GO:0033485_cyanidin 3-O-glucoside biosynthetic process,0.235,3
GO:0033500_carbohydrate homeostasis,0.0501,3
GO:0033519_phytyl diphosphate metabolic process,0.0121,3
GO:0033521_phytyl diphosphate biosynthetic process,0.0121,3
GO:0034204_lipid translocation,0.847,3
GO:0034389_lipid droplet organization,0.0474,3
GO:0034698_response to gonadotropin,0.285,3
GO:0034755_iron ion transmembrane transport,0.922,3
GO:0035150_regulation of tube size,1,3
GO:0035235_ionotropic glutamate receptor signaling pathway,1,3
GO:0035304_regulation of protein dephosphorylation,6.20E-28,3
GO:0035311_wing cell fate specification,1,3
GO:0035436_triose phosphate transmembrane transport,0.582,3
GO:0035437_maintenance of protein localization in endoplasmic reticulum,1,3
GO:0035445_borate transmembrane transport,0.00402,3
GO:0035674_tricarboxylic acid transmembrane transport,0.235,3
GO:0035873_lactate transmembrane transport,1,3
GO:0035987_endodermal cell differentiation,1,3
GO:0036068_light-independent chlorophyll biosynthetic process,0.0042,3
GO:0036290_protein trans-autophosphorylation,1,3
GO:0038171_cannabinoid signaling pathway,1,3
GO:0040010_positive regulation of growth rate,0.933,3
GO:0040019_positive regulation of embryonic development,1,3
GO:0042052_rhabdomere development,1,3
GO:0042110_T cell activation,0.254,3
GO:0042118_endothelial cell activation,1,3
GO:0042126_nitrate metabolic process,0.427,3
GO:0042128_nitrate assimilation,0.427,3
GO:0042219_cellular modified amino acid catabolic process,0.738,3
GO:0042273_ribosomal large subunit biogenesis,0.993,3
GO:0042335_cuticle development,0.0025,3
GO:0042344_indole glucosinolate catabolic process,1,3
GO:0042386_hemocyte differentiation,1,3
GO:0042425_choline biosynthetic process,0.0042,3
GO:0042476_odontogenesis,1,3
"GO:0042548_regulation of photosynthesis, light reaction",0.0702,3
GO:0042550_photosystem I stabilization,0.0368,3
GO:0042551_neuron maturation,0.0231,3
GO:0042593_glucose homeostasis,0.245,3
GO:0042631_cellular response to water deprivation,0.032,3
GO:0042675_compound eye cone cell differentiation,1,3
GO:0042710_biofilm formation,1,3
GO:0042777_plasma membrane ATP synthesis coupled proton transport,0.00223,3
GO:0042790_nucleolar large rRNA transcription by RNA polymerase I,1,3
GO:0042793_plastid transcription,1.80E-11,3
GO:0042816_vitamin B6 metabolic process,0.399,3
GO:0042817_pyridoxal metabolic process,0.0231,3
GO:0042819_vitamin B6 biosynthetic process,0.399,3
GO:0042821_pyridoxal biosynthetic process,0.0121,3
GO:0042822_pyridoxal phosphate metabolic process,0.254,3
GO:0042823_pyridoxal phosphate biosynthetic process,0.254,3
GO:0042851_L-alanine metabolic process,0.0231,3
GO:0042853_L-alanine catabolic process,0.0231,3
GO:0042873_aldonate transmembrane transport,0.634,3
GO:0042938_dipeptide transport,1,3
GO:0042939_tripeptide transport,1,3
GO:0042948_salicin transport,1,3
GO:0042949_arbutin transport,1,3
GO:0043085_positive regulation of catalytic activity,0.000014,3
"GO:0043155_negative regulation of photosynthesis, light reaction",1,3
GO:0043171_peptide catabolic process,0.755,3
GO:0043201_response to leucine,1,3
GO:0043276_anoikis,1,3
GO:0043353_enucleate erythrocyte differentiation,0.0368,3
GO:0043392_negative regulation of DNA binding,0.0231,3
GO:0043434_response to peptide hormone,0.672,3
GO:0043572_plastid fission,0.0414,3
GO:0043605_cellular amide catabolic process,0.0135,3
GO:0043619_regulation of transcription from RNA polymerase II promoter in response to oxidative stress,1,3
GO:0043620_regulation of DNA-templated transcription in response to stress,1,3
GO:0043648_dicarboxylic acid metabolic process,0.136,3
GO:0043649_dicarboxylic acid catabolic process,0.582,3
GO:0043693_monoterpene biosynthetic process,1,3
GO:0044010_single-species biofilm formation,1,3
GO:0044011_single-species biofilm formation on inanimate substrate,1,3
GO:0044057_regulation of system process,0.986,3
GO:0044068_modulation by symbiont of host cellular process,1,3
